Level,Name,Branch,Division,Group,Qty,Total Amount
Group,NOT USED,Stories Faqra,NOT USED,NOT USED,1063.6,203126.67
Division,NOT USED,Stories Faqra,NOT USED,NOT USED,1063.6,203126.67
Group,PACKAGED FOOD,Stories Faqra,GRAB&GO FOOD,PACKAGED FOOD,317,41400
Group,FRUITS,Stories Faqra,GRAB&GO FOOD,FRUITS,13,2766.67
Division,GRAB&GO FOOD,Stories Faqra,GRAB&GO FOOD,FRUITS,330,44166.67
Group,DONUTS,Stories Faqra,DONUTS,DONUTS,114,22800
Division,DONUTS,Stories Faqra,DONUTS,DONUTS,114,22800
Branch,Stories Faqra,Stories Faqra,DONUTS,DONUTS,98172.8,11149657.47
Group,BLACK COFFEE,Stories.,HOT BAR SECTION,BLACK COFFEE,4645,675043.33
Group,MIXED HOT BEVERAGE,Stories.,HOT BAR SECTION,MIXED HOT BEVERAGE,8161,1713110
Group,TEA,Stories.,HOT BAR SECTION,TEA,385,56200
Group,BEANS,Stories.,HOT BAR SECTION,BEANS,17,9733.33
Division,HOT BAR SECTION,Stories.,HOT BAR SECTION,BEANS,13208,2454086.67
Group,MIXED COLD BEVERAGES,Stories.,COLD BAR SECTION,MIXED COLD BEVERAGES,8062,1865966.67
Group,BLENDED BRINKS,Stories.,COLD BAR SECTION,BLENDED BRINKS,10438,2631533.33
Group,ICE TEA,Stories.,COLD BAR SECTION,ICE TEA,371,31866.67
Group,ADD SYRUP,Stories.,COLD BAR SECTION,ADD SYRUP,11931.5,366283.33
Group,REPLACE,Stories.,COLD BAR SECTION,REPLACE,2864,97940
Division,COLD BAR SECTION,Stories.,COLD BAR SECTION,REPLACE,33666.5,4993590
Group,SOFT DRINKS,Stories.,GRAB&GO BEVERAGES,SOFT DRINKS,8432,375600
Division,GRAB&GO BEVERAGES,Stories.,GRAB&GO BEVERAGES,SOFT DRINKS,8432,375600
Group,COFFEE PASTRY,Stories.,COFFEE PASTRY,COFFEE PASTRY,2017,565666.67
Division,COFFEE PASTRY,Stories.,COFFEE PASTRY,COFFEE PASTRY,2017,565666.67
Group,CROISSANT,Stories.,CROISSANT,CROISSANT,633,109600
Division,CROISSANT,Stories.,CROISSANT,CROISSANT,633,109600
Group,COOKIES,Stories.,COOKIES,COOKIES,303,101000
Division,COOKIES,Stories.,COOKIES,COOKIES,303,101000
Group,FRENCH PASTRY,Stories.,FRENCH PASTRY,FRENCH PASTRY,936,254633.33
Division,FRENCH PASTRY,Stories.,FRENCH PASTRY,FRENCH PASTRY,936,254633.33
Group,COMBO TOPPINGS,Stories.,FROZEN YOGHURT,COMBO TOPPINGS,38571,0
Group,TOPPINGS,Stories.,FROZEN YOGHURT,TOPPINGS,2506,167066.67
Group,LUXURY TOPPINGS,Stories.,FROZEN YOGHURT,LUXURY TOPPINGS,2272,227200
Group,FROZEN YOGHURT,Stories.,FROZEN YOGHURT,FROZEN YOGHURT,12197.2,4035470
Division,FROZEN YOGHURT,Stories.,FROZEN YOGHURT,FROZEN YOGHURT,55546.2,4429736.67
Group,SUB SANDWICHES,Stories.,SANDWICHES,SUB SANDWICHES,1059,294500
Division,SANDWICHES,Stories.,SANDWICHES,SUB SANDWICHES,1059,294500
Group,CINNAMONS,Stories.,CINNAMON ROLLS,CINNAMONS,1491,389933.33
Division,CINNAMON ROLLS,Stories.,CINNAMON ROLLS,CINNAMONS,1491,389933.33
Group,PACKAGING,Stories.,CARTON,PACKAGING,102,0
Division,CARTON,Stories.,CARTON,PACKAGING,102,0
Group,NOT USED,Stories.,NOT USED,NOT USED,2494,416616.67
Division,NOT USED,Stories.,NOT USED,NOT USED,2494,416616.67
Group,ADD ONS,Stories.,SUBS,ADD ONS,101,11666.67
Division,SUBS,Stories.,SUBS,ADD ONS,101,11666.67
Group,PACKAGED FOOD,Stories.,GRAB&GO FOOD,PACKAGED FOOD,633,97133.33
Group,SALADS,Stories.,GRAB&GO FOOD,SALADS,73,34066.67
Group,FRUITS,Stories.,GRAB&GO FOOD,FRUITS,132,29233.33
Division,GRAB&GO FOOD,Stories.,GRAB&GO FOOD,FRUITS,838,160433.33
Group,DONUTS,Stories.,DONUTS,DONUTS,704,140800
Division,DONUTS,Stories.,DONUTS,DONUTS,704,140800
Branch,Stories.,Stories.,DONUTS,DONUTS,121530.7,14697863.33
Group,BLACK COFFEE,Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,42414,7631819.64
Group,MIXED HOT BEVERAGE,Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,89078,20200307.43
Group,TEA,Stories Ain El Mreisseh,HOT BAR SECTION,TEA,5847,941348.65
Group,BEANS,Stories Ain El Mreisseh,HOT BAR SECTION,BEANS,144,75601.2
Division,HOT BAR SECTION,Stories Ain El Mreisseh,HOT BAR SECTION,BEANS,137483,28849076.92
Group,MIXED COLD BEVERAGES,Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,66496,15879936.98
Group,BLENDED BRINKS,Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,50865,12881325.09
Group,ICE TEA,Stories Ain El Mreisseh,COLD BAR SECTION,ICE TEA,3794,623218.92
Group,ADD SYRUP,Stories Ain El Mreisseh,COLD BAR SECTION,ADD SYRUP,79667.5,2488245.28
